,Type,Title,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
5120,Movie,Outside The Law,Jorge Montesi,"Cynthia Rothrock, Seamus Dever",2002,R,90 min,Action,6.632
4230,Movie,Champion,Suseenthiran,"Vishwa, Mirnalini Ravi, Narain, Manoj Bharathiraja, Stun Siva",2019,13+,103 min,"Drama, Sports",6.627
3781,Movie,Duniyadari,Sanjay Jadhav,"Swapnil Joshi, Sai Tamhankar, Ankush Chaudhari, Urmilla Kanetkar, Jitendra Joshi, Sushant Shellar, Richa Pariyalli, Sandeep Kulkarni, Anand Abhyankar, Nagesh Bhonsle, Shrirang Deshmukh, Ajinkya Joshi, Varsha Usgaonkar, Rajesh Bhosle",2013,13+,146 min,Romance,6.625
2225,Movie,Padi Padi Leche Manasu,Hanu Raghavapudi,"Sharwanand, Sai Pallavi, Murali Sharma",2018,13+,153 min,"Drama, International, Romance",6.625
4390,Movie,White God,Kornél Mundruczó,"Zsófia Psotta, Luke & Body, Sándor Zsótér, Szabolcs Thuróczy, Lili Monori, László Gálffi, Lili Horváth",2015,R,121 min,"Drama, Horror",6.625
4391,Movie,We Two - Naam Iruvar,A. V. Meiyappan,"T.R.Mahalingam, T. A. Jayalakshmi, Kamala Kumari, T. R. Ramachandran, V. K. Ramasamy",1947,ALL,130 min,Drama,6.625
2816,Movie,YO,Rafa Cortes,"Alex Brendenmuhl, Margalida Grimalt, Rafel Ramis",2007,PG-13,98 min,International,6.624
348,Movie,The Iron Mask,Allan Dwan,"DOUGLAS FAIRBANKS, NIGEL DE BRULIER, BELLE BENNETT, MARGUERITE DE LA MOTTE, DOROTHY REVIER, VERA LEWIS, ROLFE SEDAN",1929,ALL,103 min,Adventure,6.623
2850,Movie,Uncle P,Bernard Gourley,"Master P, Romeo Miller, Tony Cox",2007,PG,88 min,Comedy,6.623
2616,Movie,Lady Bloodfight,Chris Nahon,"Amy Johnston, Muriel Hofmann, Jenny Wu",2017,R,101 min,"Action, Sports",6.62
2617,Movie,"Kirk Whalum: The Gospel According to Jazz, Chapter IV",Matthew O. Henderson,"Kirk Whalum, Rick Braun, Norman Brown, Doc Gibbs, John Stoddart, Gerald Veasley, Kevin Whalum, Kenneth Whalum III, Marcus Finnie, Braylon Lacy, Ralph T. Lofton, Kevin Turner, Kortland Whalum",2015,ALL,147 min,"Documentary, Faith and Spirituality, Music Videos and Concerts",6.62
2532,Movie,Harlock: Space Pirate,Shinji Aramaki,"Yû Aoi, Jessica Boone, Ayano Fukuda, Arata Furuta",2014,16+,111 min,"Animation, Science Fiction",6.62
2135,Movie,Wuthering Heights,William Wyler,"Merle Oberon, Laurence Olivier, David Niven",1939,13+,105 min,"Drama, Romance",6.618
2307,Movie,Echoes of Fear,"Brian Avenet-Bradley, Laurence Avenet-Bradley","Trista Robinson, Hannah Race, Marshal Hilton, Paul Chirico, Elif Savas",2019,13+,89 min,Horror,6.617
3711,Movie,DEPARTURE,Robert Silver,"Mirabel Miscala, Todd Risby",2021,7+,11 min,Drama,6.616
3712,Movie,Blippi's Snowflake Scavenger Hunt,Unknown,Stevin John,2020,ALL,52 min,Kids,6.616
3713,Movie,Blippi - Explore With Blippi and Learn About Vehicles,Stevin John,Stevin John,2020,ALL,65 min,Kids,6.616
189,Movie,Ticket to Paradise,Aubrey Scotto,"Roger Pryor, Wendy Barrie, Claude Gillingwater, Andrew Tombes, Luis Alberni, E.E. Clive",1936,ALL,67 min,"Drama, Suspense",6.616
1016,Movie,Louisiana Story,Robert Flaherty,"Joseph Boudreaux, Lionel Le Blanc, E. Bievenu, Frank Hardy, C.P. Guedry",1948,18+,80 min,"Adventure, Drama",6.615
5134,Movie,Go Now,Michael Winterbottom,"Robert Carlyle, Juliet Aubrey, James Nesbitt, Sophie Okonedo, Darren Tighe",1995,16+,81 min,"Drama, Romance",6.615
710,Movie,Radioactive,Marjane Satrapi,"Rosamund Pike, Sam Riley, Aneurin Barnard, Simon Russell, Katherine Parkinson, Sian Brooke, Anya Taylor-Joy",2020,PG-13,110 min,"Drama, Historical",6.614
2879,Movie,Crown Heights,Matt Ruskin,"Ron Canada, Nestor Carbonell, Natalie Paul, Amari Cheatom, Lakeith Stanfield, Marsha Stephanie Blake, Zach Grenier, Bill Camp, Josh Pais, Yul Vazquez",2017,R,100 min,Drama,6.613
3305,Movie,Glitch!,Nico Mastorakis,"Will Egan, Steve Donmyer, Julia Nickson, Ji-Tu Cumbuka, Ted Lange",1988,16+,86 min,Comedy,6.613
3306,Movie,Fun Play Vehicles For Kids - Gecko's Real Vehicles,Christian Hughes,Unknown,2019,ALL,46 min,Kids,6.613
3983,Movie,Goya's Ghosts,Miloš Forman,"Natalie Portman, Javier Bardem, Stellan Skarsgård, Randy Quaid, José Luis Gómez, Unax Ugalde, Michael Lonsdale, Julian Wadham",2007,R,114 min,Drama,6.612
3369,Movie,Mardaani,Pradeep Sarkar,"Rani Mukerji, Sanjay Taneja, Priyanka Sharma, Gautam Babbar, Ashish Warang, Tahir Raj Bhasin",2014,18+,113 min,"Drama, International, Suspense",6.612
3666,Movie,Brittany Runs A Marathon,Paul Downs Colaizzo,"Jillian Bell, Michaela Watkins, Utkarsh Ambudkar, Lil Rel Howery, Micah Stock",2019,R,104 min,"Comedy, Drama, Romance",6.611
818,Movie,Noelle,David Wall,"David Wall, Sean Patrick Brennan, Kerry Wall",2007,Unknown,101 min,Drama,6.61
209,Movie,Think Like a Dog,Gil Junger,"Gabriel Bateman, Josh Duhamel, Megan Fox, Kunal Nayyar, Julia Jones, Janet Montgomery, Bryan Callen, Todd Stashwick, Neo Hooo",2020,PG,91 min,"Comedy, Kids",6.61
6361,Movie,Flawless,Joel Schumacher,"Robert De Niro, Philip Seymour Hoffman, Barry Miller, Chris Bauer, Skipp Sudduth, Wilson Jermaine Heredia, Nashom Benjamin, Scott Allen Cooper, Rory Cochrane, Daphne Rubin-Vega, Vincent Laresca, Karina Arroyave, John Enos, Jude Ciccolella",1999,R,111 min,"Comedy, Drama, LGBTQ",6.609
4409,Movie,Jolt,Tanya Wexler,"KATE BECKINSALE, JAI COURTNEY, STANLEY TUCCI, BOBBY CANNAVALE, LAVERNE COX, CONSTANTINE GREGORY, ORI PFEFFER, DAVID BRADLEY, SUSAN SARANDON, LEWIS BRAYNATHAN, COOPER JOSEPH GROGAN, SOPHIE SANDERSON, STEVEN OSBORNE, TOM XANDER, EVAN SHARP, SAVVY CLEMENT, SIMON BULLOK, HARRY ANICHKIN, BRAYDEN PINDUR, LILI RICH, CHLOE RAHAL, CHLOE SARBIB, MARA CHAPANOVA, JAMES GROGAN, ADAM BRASHAW, CHRISTIAN BRASSINGTON, VASIL YORDANOV, EUGENE BUICA, JENNIFER SNODGRASS, GENADIY GANCHEV",2021,R,91 min,Action,6.609
4599,Movie,Live Hard,Wook Hwang,"Jung Joon-Oh, Young Jin-Jo",2021,18+,100 min,Drama,6.607
4051,Movie,Henry & Me,Barrett Esposito,"Richard Gere, Chazz Palminteri, Luis Guzmán, Cyndi Lauper, Danny Aiello, Lucie Arnaz",2016,PG,67 min,"Animation, Kids",6.606
3400,Movie,Band Baaja Baaraat,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Manish Chaudhary",2010,ALL,139 min,Romance,6.606
4414,Movie,Exodus,Logan Stone,"Jimi Stanton, Janelle Snow, Charles Andrew Gardner, Keith Jardine, Hannah Kloepfer, James McKinney, Zachary Gossett, Dan Gonón",2021,7+,75 min,"Action, Drama, Science Fiction",6.606
6406,Movie,Joy & Hope,Candy Cain,"Vivica A. Fox, Cody Calafiore, Ashley Brinkman, Alix Kermes",2020,13+,89 min,Romance,6.605
6407,Movie,Ide Antaranga Shuddhi,Kumar Dutt,"Aryavardhan, Prathibha, Shweta Khelge, Shridhar, Suraj",2021,13+,115 min,"Drama, Suspense",6.605
3073,Movie,Hunting and Gathering,Claude Berri,"Guillaume Canet, Audrey Tautou, Laurent Stocker",2007,18+,93 min,"Comedy, Drama, Romance",6.602
457,Movie,That Uncertain Feeling,Ernst Lubitsc,"Merle Oberon, Melvyn Douglas, Burgess Meredith, Alan Mowbray, Olive Blakeney, Harry Davenport, Sig Rumann, Eve Arden",1941,PG,94 min,Comedy,6.6
1854,Movie,Angels in the Snow,George Erschbamer,"Kristy Swanson, Chris Potter, Colin Lawrence",2015,ALL,90 min,Drama,6.6
4926,Movie,Sweet Country,Warwick Thornton,"Hamilton Morris, Shanika Cole, Ewen Leslie, Sam Neill, Thomas M. Wright, Bryan Brown, Anni Finsterer, Charlie Jampijinpa Brown, Natassia Gorey Furber, Gibson John, Tremayne Doolan",2018,R,113 min,"Drama, Western",6.6
4702,Movie,Outrage,Kirby Dick,"Congressman Barney Frank, Governor James McGreevey, Larry Kramer",2010,R,89 min,Documentary,6.6
4696,Movie,Sorority Nightmare,"Devon Downs, Kenny Gage","Sierra McCormick, Cassidy Gifford, Katie Sarife, Anthony del Negro",2017,UNRATED,85 min,Suspense,6.6
4615,Movie,Blondie Brings Up Baby,Frank R. Strayer,"Penny Singleton, Arthur Lake",1939,ALL,72 min,Comedy,6.6
4850,Movie,Sunshine Superman,Marah Strauch,"Carl Boenish, Jean Boenish, John Long, Marah Strauch",2016,PG,102 min,"Action, Adventure, Documentary",6.6
3606,Movie,Gordon Lightfoot: If You Could Read My Mind,"Martha Kehoe, Joan Tosni","Gordon Lightfoot, Geddy Lee, Sarah McLachlan",2020,Unknown,90 min,"Documentary, Music Videos and Concerts",6.6
2753,Movie,On the Road to Berlin,Sergey Popov,"Yuriy Borisov, Amir Abdykalykov",2015,16+,86 min,"Action, Drama",6.6
2754,Movie,Naa Katha,Ratnakar Peravali,"Meghana Chowdary, Jakee, Suman Shetty, Mamatha, smapath Raj",2021,18+,85 min,"Drama, Suspense",6.6
2812,Movie,Doug Stanhope's The Unbookables,Jeff Pearson,"James Inman, Andy Andrist, Brett Erickson, Sean Rouse, Brendon Walsh, Kristine Levine, Travis Lipski, Norm Wilkerson",2017,18+,95 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",6.6
404,Movie,The Curse of Buckout Road,Matthew Currie Holmes,"Evan Ross, Henry Czerny, Dominique Provost-Chalkley, Danny Glover, Colm Feore",2019,18+,96 min,Horror,6.6
6244,Movie,Case Sensitive: The Point of Rescue,Charles Martin,"Olivia Williams, Darren Boyd, Rupert Graves, Amy Beth Hayes, Tom Goodman-Hill, Elly Fairman, Geoffrey Streatfeild",2011,18+,91 min,"Drama, Suspense",6.6
4381,Movie,Motorama,Barry Shils,"Jordan Christopher Michael, Martha Quinn, Drew Barrymore, Flea, Robert Picardo, Michael J. Pollard, Garrett Morris, Meat Loaf, John Diehl, Dick Miller, Mary Woronov, Jack Nance, Robin Duke, Susan Tyrrell, Allyce Beasley",1993,R,89 min,"Drama, Science Fiction",6.6
4366,Movie,Burning Plain,Guillermo Arriaga,"Charlize Theron, Kim Basinger, Jennifer Lawrence, Jose Maria Yazpik, Joaquim de Almeida, Tessa Ia, Diego J. Torres, J.D. Pardo, Danny Pino, magnolia, Magnolia",2009,R,107 min,"Arthouse, Drama, Suspense",6.6
6530,Movie,A Girl Like Grace,Ty Hodges,"Meagan Good, Raven-Symone, Garcelle Beauvais, Ryan Destiny, Paige Hurd",2016,18+,94 min,"Drama, Young Adult Audience",6.6
6528,Movie,A Perfect Enemy,Kike Maíllo,"Athena Strates, Tomasz Kot, Marta Nieto, Dominique Pinon",2021,18+,90 min,"Action, Suspense",6.6
6287,Movie,Totò Eva e il pennello proibito,Steno,"Louis de Funès, Abbe Lane, Totò",1959,13+,99 min,Comedy,6.6
4236,Movie,Tyger Tyger,Kerry Mondragon,"Sam Quartin, Dylan Sprouse, Thea Sofie Loch Næss, Craig Stark, Eden Anne Brolin, Nekhebet Kum Juch, Max Madsen, Alma Martinez, Barbara Palvin",2021,18+,92 min,"Romance, Science Fiction, Western",6.6
4163,Movie,Lady of Guadalupe,Pedro Brenner,"Guillermo Ivan, Kimberley Aria Peterson, Huitzil Sol, Rudy Miera",2021,13+,98 min,Drama,6.6
6243,Movie,Caveman,Carl Gottlieb,"Ringo Starr, Dennis Quaid, Shelley Long, Jack Gilford, Cork Hubbert, Mark King, Paco Morayta, Evan Kim, Ed Greenberg, Carl Lumbly, Jack Scalici, Gigi Vorgan",1981,PG,92 min,Comedy,6.6
1194,Movie,In Search of Mozart,Phil Grabsky,Unknown,2016,7+,129 min,Documentary,6.6
1611,Movie,Chris Claremont's X-Men,Patrick Meaney,"Chris Claremont, Jason Aaron, Art Adams, Lon Brown",2018,7+,71 min,Documentary,6.6
2530,Movie,Hello Charlie,Pankaj Saraswat,"Jackie Shroff, Aadar Jain, Shlokka Pandit, Elnaaz Norouzi, Rajpal Yadav, Darshan Jariwalla, Girish Kulkarni, Siddhanth Kapoor, Bharat Ganeshpure",2021,13+,102 min,Comedy,6.6
1809,Movie,Babru,Sujay Ramaiah,"Mahi Hiremath, Suman Nagarkar, Sunny Moza, Ray Tostado",2019,13+,106 min,Suspense,6.6
183,Movie,Tio Papi,Fro Rojas,"Joey Dedio, Frankie Faison, Kelly McGillis, Franky G",2013,13+,87 min,Kids,6.6
2218,Movie,Putham Pudhu Kaalai,"Sudha Kongara, Gautham Vasudev Menon, Suhasini Mani Ratnam, Rajiv Menon, Karthik Subbaraj","Jayaram, Oorvasi, Kalidas Jayaram,  Kalyani Priyadarshan,  M S Baaskar,  Ritu Varma,  Shruti Haasan,  Suhasini Mani Ratnam,  Anu Hasan,  Kathadi Ramamurthy,  Komalam Charuhasan,  Andrea Jeremiah,  Gurucharan C,  Leela Samson,  Simha,  Sharath Ravi,  K Muthukumar",2020,16+,129 min,Drama,6.6
2224,Movie,Painted Horses,Damian X. Fulton,"Madelyn Deutch, Linc Hand, Deana Carter, Terri Minton, Kendall Ryan Sanders, Grace Fulton",2017,13+,92 min,Drama,6.6
3289,Movie,What the Waters Left Behind,"Nicolás Onetti, Luciano Onetti","Agustín Pardella, Damián Dreizik, Victoria Maurette, Victorio D'Alessandro, Paula Brasca",2018,18+,95 min,Horror,6.6
213,Movie,The Zookeeper,Ralph Ziman,"Sam Neill, Gina McKee, Ulrich Thomsen, Om Puri",2001,13+,99 min,Drama,6.6
1805,Movie,BabyBus - Nursery Rhymes & Kids Songs (VOLUME 3),BabyBus,"KIki, Miumiu, Mimi, Timi",2020,ALL,25 min,Kids,6.6
1804,Movie,Babysitters Beware,Douglas Horn,"Rico Rodriguez, Trenton Rogers, Danny Trejo",2012,PG,72 min,"Comedy, Kids",6.6
5996,Movie,Birds of Paradise,Sarah Adina Smith,"Diana Silvers, Kristine Froseth, Jacqueline Bisset",2021,16+,113 min,"Drama, Young Adult Audience",6.6
6008,Movie,A Thousand Years of Good Prayers,Wayne Wang,"Henry O, Pavel Lychnikoff, Feihong Yu, Vida Ghahremani, Megan Albertus, Wes Deitrick, Angela Dierdorff Petro, Liz Mathews, Ryan Sanson, Tracy Schornick, Trent Sweeney, Patrick Treadway, Lonny W. Waddle, Jared Wagner",2007,UNRATED,83 min,"Drama, Romance",6.6
2316,Movie,D.L. Hughley: Clear,Jay Chapman,D.L. Hughley,2014,18+,59 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",6.6
2317,Movie,Cromwell,Ken Hughes,"Richard Harris, Alec Guinness, Robert Morley, Dorothy Tutin, Frank Finlay, Timothy Dalton, Charles Gray, Michael Jayston, Patrick Magee",1970,G,140 min,"Action, Drama",6.6
256,Movie,The Secret of Roan Inish,John Sayles,"Jeni Courtney, Eileen Colgan, Mick Lally, Susan Lynch, John Lynch, Frankie McCafferty",1995,PG,102 min,Drama,6.6
3357,Movie,Ponmagal Vandhal,JJ Fredrick,"Jyotika, Bhagyaraj, Prathap Potham, Thiagarajan, Parthiban, Pandiarajan, Subbu Panchu",2020,18+,123 min,"Drama, International",6.6
1561,Movie,Crips and Bloods: Made in America,Stacy Peralta,"Jim Brown, Forest Whitaker",2008,16+,94 min,Documentary,6.6
2359,Movie,40 Carats,Milton Katselas,"Liv Ullmann, Edward Albert, Gene Kelly, Deborah Raffin, Nancy Walker, Natalie Schafer, Binnie Barnes",1973,PG,109 min,"Comedy, Romance",6.6
2360,Movie,15-Minute Total Body Shred 9.0 Workout (with weights),Unknown,Maggie Binkley,2020,ALL,20 min,Fitness,6.6
2361,Movie,15-Minute HIIT 9.0 (tabata workout with weights),Unknown,Maggie Binkley,2020,ALL,23 min,Fitness,6.6
2362,Movie,15-Minute Full Body Burn 1.0 Workout,Unknown,Maggie Binkley,2016,ALL,17 min,Fitness,6.6
2363,Movie,15-Minute Core Challenge 1.0 Workout,Unknown,Maggie Binkley,2016,ALL,18 min,Fitness,6.6
5511,Movie,High School,John Stalberg,"Adrien Brody, Michael Chiklis, Adhir Kalyan, Colin Hanks, Matt Bush, Sean Marquette",2012,R,100 min,Comedy,6.6
3358,Movie,Penguin (Malayalam),Eashvar Karthic,"Keerthy Suresh, Linga, Madhampatty Rangaraj, Master Advaith, Mathi",2020,18+,132 min,"Drama, Suspense",6.6
296,Movie,The Mothman Legacy,Seth Breedlove,"Lyle Blackburn, Amy Davies, Penny Riggs",2020,13+,77 min,"Documentary, Horror",6.6
6093,Movie,What Makes a Family,Maggie Greenwald,"Brooke Shields, Cherry Jones, Anne Meara",2001,13+,91 min,Drama,6.6
1435,Movie,Enchantment,Irving Reis,"David Niven, Teresa Wright, Evelyn Keyes",1948,13+,101 min,"Drama, Romance",6.6
1053,Movie,Lewis Black: Black to the Future,Justin Kreutzmann,Lewis Black,2016,16+,50 min,"Arts, Entertainment, and Culture, Comedy",6.6
475,Movie,Tattoo Nation,Eric Schwartz,"Don Ed Hardy, Travis Barker, Danny Trejo, Freddy Negrete",2016,13+,86 min,"Documentary, Special Interest",6.6
3946,Movie,Mary J. Blige’s My Life,Vanessa Roth,Mary J. Blige,2021,R,82 min,"Arts, Entertainment, and Culture, Documentary",6.6
3577,Movie,Wish Upon A Star,Blair Treu,"Katherine Heigl, Danielle Harris, Donnie Jeffcoat",1996,PG,90 min,"Comedy, Fantasy, Young Adult Audience",6.6
3581,Movie,Unfinished Sky,Peter Duncan,"William McInnes, Monic Hendrickx, Milo, Bille Brown, Christopher Sommers, David Field, Sam Cotton",2019,16+,94 min,Romance,6.6
1739,Movie,Bigil,Atlee,"Vijay, Nayanthara, Jackie Shroff, Vivek, Daniel Balaji, Yogi Babu, Kathir",2019,13+,178 min,"Drama, International, Sports",6.6
3116,Movie,Scientology,Rainer Fromm,"Sabine Weber, Wilfried Handl, Ralf Gerhardt, Ursula Caberta",2012,7+,59 min,Documentary,6.6
6445,Movie,Hatched,"Scott Jeffrey, Rebecca J Matthews","Georgie Banks, Megan Purvis, Marshall Hawkes, Thomas Loone, Richard Kovacs",2021,13+,85 min,"Action, Horror, Science Fiction",6.6
791,Movie,Of Two Minds,"Lisa Klein, Doug Blush","Terri Cheney, Carlton Davis, Cheri Keating",2013,13+,90 min,Documentary,6.6
3807,Movie,Jean of the Joneses,Stella Meghie,"Taylour Paige, Gloria Reuben, Sherri Shepherd, Erica Ash, Michelle Hurst, Shailyn Pierre-Dixon, Coco Assad, Anna Hopkins, François Arnaud, Mamoudou Athie, Demore Barnes, Cara Ricketts",2016,16+,86 min,"Comedy, Drama, Romance",6.6
3808,Movie,"It's All Gone, Pete Tong",Michael Dowse,"Paul Kaye, Beatriz Batarda, Kate Magowan",2005,18+,88 min,"Comedy, Drama",6.6
792,Movie,Odeya (4K UHD),M.D. Sridhar,"Darshan, Sanah Thimmayyah, Yashas Surya",2019,13+,162 min,"Drama, International",6.6
821,Movie,Nishabdham (Telugu),Hemant Madhukar,"Anushka Shetty, Madhavan, Anjali, Michael Madsen",2020,16+,126 min,Suspense,6.6
819,Movie,No Place to Hide: The Rehtaeh Parsons Story,Rama Rau,Unknown,2015,13+,48 min,"Documentary, Special Interest",6.6
820,Movie,Nishabdham (Telugu) (4K UHD),Hemant Madhukar,"Anushka Shetty, Madhavan, Anjali, Michael Madsen",2020,16+,126 min,Suspense,6.6
6399,Movie,Obsession,Goran Dukic,"Mekhi Phifer, Elika Portnoy, Brad Dourif, Ruben Santiago-Hudson, Kerry Cahill",2019,16+,91 min,"Drama, Suspense",6.6
3207,Movie,Guys and Dolls,Joseph L. Mankiewicz,"Marlon Brando, Jean Simmons, Frank Sinatra",1955,13+,150 min,"Arts, Entertainment, and Culture, Comedy",6.6
3607,Movie,God's Miracles,Michael Bouson,Bryant Gumbel,2017,ALL,52 min,"Drama, Faith and Spirituality",6.6
6366,Movie,Code Red,Valeri Milev,"Paul Logan, Manal El-Feitury, Mya-Lecia Naylor, Julian Kostov",2014,16+,94 min,"Action, Horror, Science Fiction",6.6
970,Movie,Margaret Cho: Psycho,John Asher,Margaret Cho,2015,18+,82 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",6.6
4269,Movie,"Lo and Behold, Reveries of the Connected World",Werner Herzog,"Elon Musk, Dr. Robert Kahn, Kevin Mitnick",2016,PG-13,98 min,Documentary,6.598
4061,Movie,Favourite Nursery Rhymes from Little Baby Bum,Cannis Holder,Unknown,2019,ALL,34 min,Kids,6.598
4060,Movie,Female Agents,Jean-Paul Salomé,"Sophie Marceau, Julie Depardieu, Déborah François, Marie Gillain, Maya Sansa",2008,16+,112 min,"Action, Drama",6.598
4496,Movie,Reefer Madness,Louis J. Gasnier,"Dorothy Short, Kenneth Craig",1936,18+,66 min,"Comedy, Drama",6.597
3774,Movie,Jungle,Greg McLean,"Daniel Radcliffe, Thomas Kretschmann, Joel Jackson, Yasmin Kassim",2017,R,116 min,Action,6.596
2207,Movie,Satyameva Jayate,Milap Zaveri,"John Abraham, Manoj Bajpayee, Aisha Sharma, Amruta Khanvilkar, Manish Chaudhary",2018,18+,140 min,"Action, Adventure, International",6.596
240,Movie,The Tag-Along 2,Wei-Hao Cheng,"Rainie Yang, Wei-Ning Hsu, Francesca Kao, Shao-Hua Lung, River Huang",2017,16+,107 min,"Horror, Suspense",6.595
4055,Movie,Girl With a Pearl Earring,Peter Webber,"Colin Firth, Scarlett Johansson, Tom Wilkinson, Judy Parfitt, Cillian Murphy, Essie Davis",2003,PG-13,100 min,"Drama, Romance",6.593
5948,Movie,Vakeel Saab (Malayalam),Venu Sriram,"Pawan Kalyan, Nivetha Thomas, Anjali, Ananya, Prakash raj, Shruti Haasan, Vamsi Krishna",2021,13+,153 min,"Action, Drama",6.593
5947,Movie,Ashani Sanket,Satyajit Ray,"Soumitra Chatterjee, Sandhya Roy, Bobita, Govinda Chakravarti, Sheli Pal, Chitra Banerjee, Noni Ganguly",1973,13+,97 min,Drama,6.593
4862,Movie,2149: The Aftermath,Benjamin Duffield,"Nick Krause, Molly Parker, Juliette Gosselin, Jordyn Negri",2021,16+,77 min,Science Fiction,6.588
5553,Movie,The Kids Are All Right,Lisa Cholodenko,"Annette Bening, Julianne Moore, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson",2010,R,107 min,"Comedy, Drama, Romance",6.585
5893,Movie,Damage,ANGEL AMUZO MALEDO,COURAGE AKPANIKAN LAMIROSE ALI EBILOMA EMMANUEL,2021,18+,91 min,Drama,6.584
5894,Movie,Crude Crypt Vol 1,"Robbie Lopez, Jayleen Perez, Bron Theron, Wade Hampton","Bryan Slusher, Chris Stimac, Amy Stacy, John Riggs, Adam Fletcher, Adriana Ruiz, Matt Boulton, Robbie Lopez, Melesa Murphy, Paul Stacy, Alexandra faye Sadeghian, Dan Gregory, Ryan Johnson, Ernie Yates, andy matlock",2021,18+,85 min,Horror,6.584
3230,Movie,The Kung Fu Master,ABRID SHINE,"NEETA PILLAI, SANOOP D, JIJI SCARIA",2020,16+,120 min,Action,6.582
3611,Movie,Fire In The Sky,Robert Lieberman,"D. B. Sweeney, Peter Berg, James Garner, Craig Sheffer, Robert Patrick, Henry Thomas, Bradley Gregg, Noble Willingham, Kathleen Wilhoite, Georgia Emelin",1993,PG-13,109 min,Drama,6.581
2068,Movie,Jeff Dunham: Very Special Christmas Special,Michael Simon,Jeff Dunham,2008,18+,85 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",6.581
71,Movie,When Did You Last See Your Father?,Anand Tucker,"Jim Broadbent, Colin Firth, Gina McKee",2008,PG-13,92 min,"Arthouse, Drama",6.58
4581,Movie,Secret Window,David Koepp,"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton",2004,PG-13,96 min,"Horror, Suspense",6.579
2040,Movie,The Limey,Steven Soderbergh,"Terence Stamp, Peter Fonda, Lesley Ann Warren, Luis Guzman, Barry Newman",1999,R,89 min,"Action, Drama, Suspense",6.578
210,Movie,Things We Lost In The Fire,Susanna Bier,"Halle Berry, Benicio Del Toro, David Duchovny",2007,R,118 min,Drama,6.575
2223,Movie,Phantasm: Remastered,Don Coscarelli,"A. Michael Baldwin, Bill Thornbury, Reggie Bannister, Angus Scrimm",1979,R,89 min,"Horror, Science Fiction",6.572
4222,Movie,Mankatha,Venkat Prabhu,"Ajith Kumar, Arjun, Trisha, Lakshmi Rai, Anjali, Vaibhav, Premji Amaren, Mahat Raghavendra, Jayaprakash, Aravind",2011,13+,154 min,"Action, Suspense",6.571
4744,Movie,Romper Stomper,Geoffrey Wright,"Russell Crowe, Daniel Pollock, Jacqueline McKenzie, Alex Scott, Leigh Russell, Dan Wyllie",1992,R,93 min,Drama,6.569
232,Movie,The Vast of Night,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Gail Cronauer, Bruce Davis, Cheyenne Barton, Gregory Peyton",2020,PG-13,91 min,"Drama, Science Fiction, Suspense",6.568
233,Movie,The Underdog (1943),William Nigh,"Barton MacLane, Bobby Larsen, Jan Wiley, Charlotte Wynters, Conrad Binyon, Elizabeth Valentine",1943,ALL,62 min,"Drama, Military and War",6.568
1728,Movie,Black Robe,Bruce Beresford,"Lothaire Bluteau, Aden Young, Sandrine Holt",1991,R,101 min,"Action, Drama",6.567
1858,Movie,Andy Murray: Resurfacing,Olivia Cappuccini,Andy Murray,2019,16+,109 min,Documentary,6.567
5329,Movie,The Legend of Bagger Vance,Robert Redford,"Will Smith, Matt Damon, Charlize Theron, Bruce McGill, Joel Gretsch",2000,PG-13,127 min,"Drama, Fantasy, Sports",6.566
3495,Movie,El Gran McLintock,Andrew V. McLaglen,"John Wayne, Maureen O'Hara, Patrick Wayne",1963,13+,127 min,Western,6.565
945,Movie,McLintock!,Andrew V. McLaglen,"John Wayne, Maureen O'Hara",1963,ALL,127 min,"Comedy, Western",6.565
4841,Movie,Julia,Alex Reis,"Camila Lorenzo, Higor Campagnaro, Murici Lima",2021,16+,17 min,Drama,6.564
1721,Movie,Blackmail,Abhinay Deo,"Irrfan Khan, Kirti Kulhari, Arunoday Singh, Omi Vaidya, Gajraj Rao, Divya Dutta",2018,13+,137 min,"Action, Comedy, International",6.563
4078,Movie,All Stars,Ben Gregor,"Theo Stevenson, Akai Osei, Ashley Jensen, Fleur Houdijk, Dominic Herman-Day",2013,PG,103 min,"Comedy, Kids",6.563
1722,Movie,Blackbird (4K UHD),Roger Mitchell,"Susan Sarandon, Kate Winslett, Mia Wasikowska, Sam Neill, Rainn Wilson",2020,R,98 min,Drama,6.563
2411,Movie,Stay,Brandon Walker,"Ashley Park, Jesse LeNoir, Dre Davis, Simone Posey, Alisa Levinson, Daz Crawford, Robert Palmer Watkins",2021,16+,82 min,"Horror, Suspense",6.558
5803,Movie,I'm Not There,Todd Haynes,"Christian Bale, Cate Blanchett, Richard Gere, Heath Ledger, Julianne Moore, Michelle Williams",2007,R,136 min,"Arts, Entertainment, and Culture, Drama",6.557
